ChapterID,VerseID,Source,Target
EXO.20,1,1Togə́bè ɓa Ala pa taje neelé lai pana:,1And God spoke all these words:
EXO.36,1,"1Besaleel gə Oholiab gə diŋgamje lai gə́ njégosokulaje lé deḛ gə́ Njesigənea̰ ar kəmkàr gə gosonégər to meḛ dee’g mba gər ne né ləm, gə mba ra ne né ləm tɔ lé ra kulaje ɓəd-ɓəd gə́ wɔji dɔ kəi-kubu-si-Ala gə goo néje lai gə́ Njesigənea̰ un ndia dɔ’g ar dee lé ya.","1So Bezalel, Oholiab and every skilled person to whom theLordhas given skill and ability to know how to carry out all the work of constructing the sanctuary are to do the work just as theLordhas commanded.”"
LEV.18,1,1Njesigənea̰ ula Moyis pana:,"1TheLordsaid to Moses,"
PRO.16,1,"1Kwɔji né gə mba ra lé ḭ mee dəw’g,","1To humans belong the plans of the heart,"
HEB.2,1,1Gelee gə́ nee ɓa ta néje gə́ jeḛ j’oo lé maji kar sí n’reḛ́ keneŋ rḛ́-rḛ́ nà j’a ndəm kigi loo gə́ əw’g.,"1We must pay the most careful attention, therefore, to what we have heard, so that we do not drift away."
LEV.11,1,1Njesigənea̰ pata ula ne Moyis gə Aaro̰ pana:,"1TheLordsaid to Moses and Aaron,"
PRO.29,1,1Dəw gə́ kəm kar dee ndaŋgee nɛ yeḛ uba gwɔbkelkwɔi lé,1Whoever remains stiff-necked after many rebukes
GEN.1,1,"1Kédé gə́ dɔtar lé, Ala unda dara gə naŋg nee tɔ.",1In the beginning God created the heavens and the earth.
EST.6,1,1Mee tilee’g neelé ɓi wa kəm mbai el ndá yeḛ ar dee ree gə maktub gə́ ndaŋg sorta néraje lə mbaije keneŋ lé. Bèe ɓa deḛ tura no̰ mbai’g ndá,"1That night the king could not sleep; so he ordered the book of the chronicles, the record of his reign, to be brought in and read to him."
JER.28,1,"1Mee ləb’g neelé loo gə́ Sedesias, mbai un kudu ko̰ ne ɓee, mee naḭ gə́ njekɔm’g mi mee ləb gə́ njekɔm’g sɔ lé Hanania, ŋgolə Ajur gə́ to njetegginta gə́ Gabao̰, ulam ta mee kəi’g lə Njesigənea̰ kəm njékinjanéməsje’g ləm, gə kəm koso-dəwje’g lai ləm tɔ pana#2Mb 24.18-20, 2SgI 36.11-13:","1In the fifth month of that same year, the fourth year, early in the reign of Zedekiah king of Judah, the prophet Hananiah son of Azzur, who was from Gibeon, said to me in the house of theLordin the presence of the priests and all the people:"
PSA.143,1,1Pakɔs lə Dabid.,"1Lord, hear my prayer,"
DAN.9,1,"1Mee ləb ko̰ɓee’g dɔtar lə Darius, ŋgolə Asuerus, gə́ ginkojee to Medə, yeḛ gə́ tel to mbai lə ɓeeko̰ lə Kaldeje lé","1In the first year of Darius son of Xerxes#9:1HebrewAhasuerus(a Mede by descent), who was made ruler over the Babylonian#9:1OrChaldeankingdom—"
ISA.55,1,1Seḭ lai gə́ kṵdaman tɔl sí lé,"1“Come, all you who are thirsty,"
PSA.52,1,1Pakɔs lə Dabid gə́ ar bao-pa mba karee ɔs sə dee lé.,"1Why do you boast of evil, you mighty hero?"
EST.1,1,1To sorta néje gə́ dəs mee ləbje’g lə Asuerus. Asuerus neelé ɓa o̰ ɓee dɔ dəb ɓeeko̰je’g tɔl-dəa-rɔ-joo-giree-siri (127) gə́ un kudee Inde ya saar teḛ ne Etiopi#Esd 4.6.,"1This is what happened during the time of Xerxes,#1:1HebrewAhasuerus; here and throughout Estherthe Xerxes who ruled over 127 provinces stretching from India to Cush#1:1That is, the upper Nile region:"
HEB.9,1,"1Manrɔ gə́ dɔtar lé ndukun ləa gə́ wɔji dɔ kwa Ala meḛ dee’g to keneŋ ləm, kəi ləa gə́ to gə kəmee to keneŋ ləm tɔ.",1Now the first covenant had regulations for worship and also an earthly sanctuary.
EXO.6,1,"1Njesigənea̰ ula Moyis pana: Ɓasinè i a koo né gə́ m’a gə ra gə Parao̰, ji siŋgamoŋ gə́ ɓar mèr-mèr lé ɓa a kɔsee ɓɔḭ-ɓɔḭ gə mba karee ya̰ dee ar dee d’aw ləm, ji siŋgamoŋ gə́ ɓar mèr-mèr lé ɓa a kɔsee karee tuba dee ne mee ɓee’g ləa ləm tɔ.","1Then theLordsaid to Moses, “Now you will see what I will do to Pharaoh: Because of my mighty hand he will let them go; because of my mighty hand he will drive them out of his country.”"
JER.15,1,"1Njesigənea̰ ulam togə́bè pana: Lée Moyis gə Samel ya d’aar no̰ neḛ’g mba ra rəwta lə koso-dəwje neelé kara n’a koo kəmtondoo lə deḛje neelé el. Tuba dəwje neelé no̰m’g ɔm dee əw mba kar dee d’ɔd d’aw#Tr 32.11-14, BI 14.13-19, 1Sam 7.5-9.","1Then theLordsaid to me: “Even if Moses and Samuel were to stand before me, my heart would not go out to this people. Send them away from my presence! Let them go!"
ROM.5,1,1Jeḛ lé mbɔl dɔ meekun lə sí ɓa Ala ɔr ne ta dɔ sí’g yee ɓa Mbaidɔmbaije lə sí Jeju Kristi lé ar sí j’ɔm na̰’d yəg gə Ala tɔ.,"1Therefore, since we have been justified through faith, we#5:1Many manuscriptslet ushave peace with God through our Lord Jesus Christ,"
JOB.21,1,1Jɔb un ta pa pana:,1Then Job replied:
EXO.17,1,"1Koso-dəwje gə́ Israɛl lai d’ḭ dɔdilaloo’d gə́ Sin d’ɔd d’aw gə goo rəw njaa lə dee gə́ Njesigənea̰ un ndia dɔ’g ar dee lé, deḛ d’isi Repidim waga ndá lé gə́ nee lé ɓa dəwje d’iŋga mán-kai dee keneŋ el.","1The whole Israelite community set out from the Desert of Sin, traveling from place to place as theLordcommanded. They camped at Rephidim, but there was no water for the people to drink."
JER.47,1,"1Ta gə́ Njesigənea̰ ula Jeremi, njetegginta wɔji ne dɔ Pilistije kédé ɓad ɓa Parao̰ aw rɔ gə njé gə́ Gaja ɓəi#Esa 14.29-31, Ejk 25.15-17, Joɛ 4.4-8, Amɔ 1.6-8, Sop 2.4-7, Jkr 9.5-7s.",1This is the word of theLordthat came to Jeremiah the prophet concerning the Philistines before Pharaoh attacked Gaza:
LEV.27,1,1Njesigənea̰ ula Moyis pana:,"1TheLordsaid to Moses,"
ISA.13,1,"1Ndərta gə́ inja kəm Esai, ŋgolə Amots’g aree oo gə́ wɔji ne dɔ Babilɔnje#Esa 47.1-15, Jer 50.1–51.64e.",1A prophecy against Babylon that Isaiah son of Amoz saw:
1SA.1,1,"1Dəw kára bèe to dəw gə́ Ramatayim-Sopim, ɓee gə́ to dɔ mbal’g lə Eprayim, dəw neelé ria lə Elkana. Yeḛ to ŋgolə Jeroham, gə́ to ŋgolə Elihu, gə́ to ŋgolə Tou, gə́ to ŋgolə Sup, yeḛ neelé to gə́ ginkoji’g lə Eprata.","1There was a certain man from Ramathaim, a Zuphite#1:1See Septuagint and 1 Chron. 6:26-27,33-35; orfrom Ramathaim Zuphim.from the hill country of Ephraim, whose name was Elkanah son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite."
REV.22,1,"1Yeḛ am m’oo baa gə́ ḭ gin kalimbai’g lə Ala gə ka̰ Ŋgonbad’g lé tɔ. To mán kəmə gə́ ndul konono asəna gə mán gə́ ndil ku’g bèe#Ejk 47.1, Jkr 14.8.","1Then the angel showed me the river of the water of life, as clear as crystal, flowing from the throne of God and of the Lamb"
GEN.47,1,"1Jisəb aw rɔ Parao̰’g ulá pana: Bɔm gə ŋgakɔmje d’ḭ ɓee gə́ Kana̰ ree rɔm’g gə badje lə dee, gə maŋgje lə dee, gə néje lai gə́ to ka̰ dee lé mba̰. Aa oo, deḛ d’isi ɓee gə́ Gosen ŋga.","1Joseph went and told Pharaoh, “My father and brothers, with their flocks and herds and everything they own, have come from the land of Canaan and are now in Goshen.”"
PSA.149,1,1Maji kar sí pidije Njesigənea̰!,1Praise theLord.#149:1HebrewHallelu Yah; also in verse 9
